егленcелер	егленcе
сüргüнликниң	сüргüнлик
монархийада	монархийа
кöстергенлери	кöстер
öксüз	öксüз
баğлай	баğла
баğлай	баğла
йапылыр	йап
йапылыр	йап
йапылыр	йапыл
йапылыр	йапыл
йапылыр	йап
йапылыр	йапыл
қарşылаşмақ	қарşылаş
çабик	çабик
меркезниң	меркез
аслында	аслында
санында	сан
тuтмақ	тuт
иşтиракçилери	иşтиракçи
сойады	сойады
фелсефеси	фелсефе
хатырлав	хатырла
хатырлав	хатырлав
таşлары	таş
йипек	йипек
йоқ	йоқ
йерлеşтирген	йерлеşтир
йерлеşтирген	йерлеşтир
йерлеşтирген	йерлеşтир
йерлеşтирген	йерлеşтир
векиллериниң	векил
мuсафирлерни	мuсафир
басмаханеде	басмахане
üкüметиниң	üкüмет
дереcеси	дереcе
девринде	девир
меселени	меселе
меселени	меселен
лагерге	лагер
şеерден	şеер
йuнанcа	йuнан
йuнанcа	йuнанcа
йuнанcа	йuнанcа
йе	йе
даğcы	даğcы
диаспорасында	диаспора
инститuтының	инститuт
майның	май
йазğанына	йаз
респuблика	респuблика
хитлер	хит
борuçық	борuçық
uқuқçы	uқuқçы
доменге	домен
кираз	кираз
темсилcиси	темсилcи
давалаşмасында	давалаş
cенклер	cенк
бuйрuğына	бuйрuқ
балалайка	балалайка
фелсефесини	фелсефе
тоқтав	тоқта
тоқтав	тоқтав
uзақлаşтырылğан	uзақлаşтыр
uзақлаşтырылğан	uзақлаşтыр
uзақлаşтырылğан	uзақлаşтыр
uзақлаşтырылğан	uзақлаşтыр
балықлар	балық
öлüмге	öлüм
бейнен	бей
сойuндан	сой
йардымcысына	йардымcы
қапалы	қапалы
таşтан	таş
ресимлер	ресимлер
ресимлер	ресим
истилâ	истилâ
üкüмети	üкüмет
йазğан	йаз
йазğан	йаз
йазğан	йаз
йазğан	йаз
етилüвинен	ет
етилüвинен	етил
радасының	рада
мüтехассысы	мüтехассыс
зийалылар	зийалы
халифени	халифе
лâтифелер	лâтифе
фаалийетини	фаалийет
бöлüнüв	бöл
бöлüнüв	бöлüнüв
сuвğа	сuв
иşарет	иşарет
сüлâлесине	сüлâле
директоры	директор
мобилизатсийа	мобилизатсийа
тайфасы	тайфа
аскерлеринен	аскер
радиосына	радио
кöтерилüви	кöтер
меденийети	меденийет
мараз	мараз
şаиримиз	şаир
öмüрқардаşы	öмüрқардаşы
öмüрқардаşы	öмüрқардаşы
беşерийетиниң	беşерийет
территорийаларына	территорийа
ибадетханесиниң	ибадетхане
қапатылды	қапат
контсертинде	контсерт
васийети	васийет
арнавuтлық	арнавuтлық
тарафларындан	тараф
векиллери	векил
ески	ески
uсuлның	uсuл
йат	йат
йат	йад
бирлигинден	бирлик
филмден	филм
пайтахтында	пайтахт
қuрuлыşлар	қuрuлыş
каналы	канал
сақынып	сақын
сақынып	сақын
инсанның	инсан
майоры	майор
сöзüниң	сöз
таcикçе	таcик
таcикçе	таcикçе
