үҫемлектәр	үҫемлек
шөғөлләнеү	шөғөллән
шөғөлләнеү	шөғөллән
билбау	билбау
сержант	сержант
бүләктәр	бүләк
формалары	форма
мәҙәниәтте	мәҙәниәт
сарматтар	сармат
союздаштар	союздаш
һаны	һан
һаны	һаны
тереклек	тереклек
һауыт	һауыт
һалдаттар	һалдат
ярында	яр
әйләнештә	әйләнеш
пропагандалау	пропагандала
федерацияһына	федерация
общинаның	община
экспедицияһы	экспедиция
уйнау	уйна
уйнау	уйнау
бета	бета
һанында	һан
тантанаһы	тантана
һүҙлек	һүҙлек
ярыштары	ярыш
уҙышта	уҙыш
мақсаттары	мақсат
сәғәтлек	сәғәтлек
қарар	қара
қарар	қарар
қарар	қара
мөнәсәбәттәрҙең	мөнәсәбәт
конституцияһына	конституция
ресурстар	ресурс
провинцияһы	провинция
қәбиләһенең	қәбилә
судының	суд
өлкән	өлкән
ихтыяждарын	ихтыяж
бәлиғ	бәлиғ
рекордтары	рекорд
комиссияһына	комиссия
уғыҙҙар	уғыҙ
бүләкләү	бүләклә
бүләкләү	бүләклә
бүләкләү	бүләклә
мәғлүмәтте	мәғлүмәт
киҫешкән	киҫ
киҫешкән	киҫ
киҫешкән	киҫ
араға	ара
заманға	заман
марксизм-ленинизм	марксизм-ленинизм
объекттар	объект
раҫлап	раҫла
раҫлап	раҫла
йылдарға	йыл
идеяларын	идея
персонаждар	персонаж
һарайҙа	һарай
кобзарь	кобзарь
мәҙәниәтенең	мәҙәниәт
оқшаған	оқша
оқшаған	оқша
оқшаған	оқша
оқшаған	оқша
оқшаған	оқша
оқшаған	оқша
голдар	гол
итер	ит
итер	ит
хар	хар
ауырып	ауыр
ауырып	ауыр
ауырып	ауыр
ауырып	ауыр
журналына	журнал
ятқылықтарының	ятқылық
китаптарының	китап
станцияһы	станция
киңәйтеү	киңәйт
шәхестәр	шәхес
ысулы	ысул
институтқа	институт
кафедраһы	кафедра
мәҙәниәтен	мәҙәниәт
кимәлгә	кимәл
тоташтырыусы	тоташтыр
һорап	һора
һорап	һора
һөнәрселек	һөнәрселек
етәкселеге	етәкселек
етәкселеге	етәкселеге
диненең	дин
техникаһы	техника
комиссары	комиссар
уставы	устав
мәнфәғәттәрен	мәнфәғәт
сақырған	сақыр
сақырған	сақыр
сақырған	сақыр
йөмһүриәте	йөмһүриәт
монтаж	монтаж
йүнәлтелгән	йүнәлт
йүнәлтелгән	йүнәлт
йүнәлтелгән	йүнәлт
күҙенә	күҙ
бай	бай
бай	бай
бай	бай
бай	бай
бөткәнсе	бөт
бөткәнсе	бөт
бөткәнсе	бөт
округ	округ
против	против
районында	район
музейҙарында	музей
төрөк	төрөк
самолетын	самолет
фунт	фунт
революцияһына	революция
ялға	ял
ялға	ялға
миләүшә	миләүшә
эстон	эстон
сүп	сүп
мәсетен	мәсет
мөлкәт	мөлкәт
тәржемә	тәржемә
күрһәтмәй	күрһәт
күрһәтмәй	күрһәт
күрһәтмәй	күрһәт
күрһәтмәй	күрһәт
тактикаһы	тактика
төрҙәренә	төр
архитектураһы	архитектура
асықланған	асықла
асықланған	асықлан
асықланған	асықлан
асықланған	асықла
асықланған	асықлан
асықланған	асықлан
асықланған	асықла
асықланған	асықлан
асықланған	асықлан
симметрик	симметрик
минус	минус
шаһиты	шаһит
ябыла	яп
ябыла	яп
донъяны	донъя
конструкциялар	конструкция
формалашқан	формалаш
формалашқан	формалаш
формалашқан	формалаш
формалашқан	формалаш
формалашқан	формалаш
формалашқан	формалаш
күңелһеҙ	күңелһеҙ
яҙмаларҙа	яҙма
яуы	яу
ойошторолдо	ойошторол
һалдаты	һалдат
хәтерләткән	хәтерләт
хәтерләткән	хәтерләт
хәтерләткән	хәтерләт
қарауыл	қарауыл
һалды	һал
һалды	һал
соус	соус
туп	туп
фикһ	фикһ
бәйләнешен	бәйләнеш
температура	температура
тамырынан	тамыр
төн	төн
шат	шат
шат	шат
архитекторҙары	архитектор
сирегендә	сирек
тәқдимде	тәқдим
йыһанға	йыһан
министрҙар	министр
деканы	дека
деканы	декан
яртыһынан	ярты
яртыһынан	яртыһы
филиалы	филиал
партизандар	партизан
болоттар	болот
фарыз	фарыз
күрһәтмә	күрһәтмә
күрһәтмә	күрһәтмә
күрһәтмә	күрһәт
июль	июль
конституцияһының	конституция
минутлық	минутлық
боҙолоу	боҙ
боҙолоу	боҙол
боҙолоу	боҙол
герцог	герцог
провинцияға	провинция
күмәкләп	күмәкләп
қайнар	қайна
қайнар	қайнар
қайнар	қайна
административ	административ
яғын	яқ
яғын	яғын
авторҙар	автор
батырлығы	батырлық
ата-бабалары	ата-баба
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
ярамай	яра
теленең	тел
ауыҙ	ауыҙ
һақлар	һақла
һақлар	һақла
аңлатыу	аңлат
төшөнсәһе	төшөнсә
заряды	заряд
йәйен	йәй
йәйен	йәйен
раундында	раунд
бесәй	бесәй
типтәрҙәр	типтәр
қабатлай	қабатла
қабатлай	қабатла
һанаған	һана
һанаған	һана
һанаған	һана
мәғәнә	мәғәнә
йыйылған	йый
йыйылған	йыйыл
йыйылған	йыйыл
йыйылған	йый
йыйылған	йыйыл
йыйылған	йыйыл
йыйылған	йый
йыйылған	йыйыл
йыйылған	йыйыл
күпер	күпер
нығытып	нығыт
нығытып	нығыт
турнирҙы	турнир
ерҙең	ер
ерҙең	ер
батшалық	батшалық
алгебраик	алгебраик
ташланып	ташла
ташланып	ташла
өлөшөнә	өлөш
кипкән	кип
кипкән	кип
кипкән	кип
кипкән	кип
кипкән	кип
кипкән	кип
компоненты	компонент
компанияны	компания
белгесе	белгес
уқыта	уқыт
уқыта	уқыт
аппараты	аппарат
трек	трек
биҫтәһенә	биҫтә
романдар	роман
атқаҙанған	атқаҙанған
көсәйә	көсәй
көсәйә	көсәй
көсәйә	көсәй
көсәйә	көсәй
мәжүси	мәжүси
мәжүси	мәжүси
һырлы	һырлы
империяһы	империя
заводта	завод
мөйөштәр	мөйөш
биләмә	биләмә
биләмә	билә
хужалықтары	хужалық
радиусы	радиус
убалар	уба
һабан	һабан
туқымаһы	туқыма
куб	куб
өлгөләре	өлгө
вақыттарҙа	вақыт
реаль	реаль
кислотаһы	кислота
премияһын	премия
август	август
кәмерәк	кәм
кәмерәк	кәмерәк
тиреһенән	тире
ташлама	ташлама
ташлама	ташла
штабына	штаб
мифология	мифология
карталары	карта
эйәр	эйәр
эйәр	эйәр
эйәр	эйәр
эйәр	эйәр
минерал	минерал
музейына	музей
сират	сират
юғарырақ	юғары
өҙлөкһөҙ	өҙлөкһөҙ
өҙлөкһөҙ	өҙлөкһөҙ
өҙлөкһөҙ	өҙлөкһөҙ
казактарҙың	казак
үҙенсәлектәре	үҙенсәлек
үҙенсәлектәре	үҙенсәлектәре
ултыртыу	ултырт
қушыу	қуш
курдтар	курд
геройҙарының	герой
һөнәренә	һөнәр
һөнәренә	һөнәренә
периодта	период
йыйылыу	йый
йыйылыу	йыйыл
йыйылыу	йыйыл
уқылған	уқы
уқылған	уқы
уқылған	уқы
концерты	концерт
қорһақ	қорһақ
командиры	командир
темалар	темалар
темалар	тема
қеүәт	қеүәт
фракцияһы	фракция
бүленгән	бүл
бүленгән	бүлен
бүленгән	бүлен
бүленгән	бүлен
бүленгән	бүл
бүленгән	бүлен
бүленгән	бүлен
бүленгән	бүлен
бүленгән	бүл
бүленгән	бүлен
бүленгән	бүлен
бүленгән	бүлен
автономияһының	автономия
комиссия	комиссия
мәктәп	мәктәп
қатын-қыҙҙы	қатын-қыҙ
эл	эл
нерв	нерв
нерв	нерв
шәхестең	шәхес
қаҙақ	қаҙақ
оборонаһын	оборона
журналдың	журнал
төҙөү	төҙө
төҙөү	төҙөү
бәшмәктәр	бәшмәк
аяттар	аят
һақлау	һақла
һақлау	һақлау
музыкаһының	музыка
эшкәртә	эшкәрт
эшкәртә	эшкәрт
